genome_id,species_label,source_type,source_identifier,current_fasta_file,current_fasta_bytes,current_fasta_sha256,embedding_file,embedding_bytes,embedding_sha256,used_by_classification,used_by_mic,used_by_synergy
#001,Escherichia coli,NCBI RefSeq assembly,GCF_000212715.2,Escherichia_coli_ATCC_#001.fasta,5738033,e9eb5ac9a472d4df34ace810643ff98d294099eed3a67e2c3af17f1e0064dc38,Escherichia_coli_ATCC_#001.pt,8504635,74fe831321400869b3ec99ecdd767f2fd00febe4cf54edaf48eeb786df5f10d1,False,True,False
#002,Pseudomonas aeruginosa,NCBI RefSeq assembly,GCF_045689255.1,Pseudomonas_aeruginosa_ATCC_#002.fasta,6623286,ff46e7ecead8b6208d928323ba4be0ba82bf4389049b1aac57917e874462a116,Pseudomonas_aeruginosa_ATCC_#002.pt,10732889,5c4ff4e7906c67995d1a3f3c56e15ca2d8a13fc4e99716ba6a24691fe6cf9b5e,False,True,True
#003,Escherichia coli,project custom FASTA,not_recovered,Escherichia_coli_ATCC_#003.fasta,4902180,6063b1bed86d7d3d42118ba05dc605d571ec32d751b272d6d69b98031e96d56a,Escherichia_coli_ATCC_#003.pt,7931195,a2e2a3cf2b6305d65ca259ad8f0b86368fd25591da5229fb20a35965413cf6c2,False,True,False
#004,Escherichia coli,project custom FASTA,not_recovered,Escherichia_coli_ATCC_#004.fasta,4697688,37eade01311f1f81659fad53bf907a93139075a75d115fd3aec2ef09beac2e90,Escherichia_coli_ATCC_#004.pt,7603515,73e8229f8f0bc3a9fa287168751acbdfe594246bcb4b34e675c5ec7fa4cf85e1,True,True,True
#005,Escherichia coli,project custom FASTA,not_recovered,Escherichia_coli_ATCC_#005.fasta,4595360,283acc8786f0b2aa8ae05d1e030aa2931760e3540cf88d4a4bd0a4ed2b3634e3,Escherichia_coli_ATCC_#005.pt,7439675,24edb63307fc45251e7f5721557066230a58ab16d8a6fa141d2bd0b4658e842b,False,True,False
10031,Klebsiella pneumoniae subsp pneumoniae,ATCC FASTA archive,ATCC 10031,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10031.fasta,5366343,3edbbc396ec86353e63d3ebf74847dea7ebefb3a529fa01b18bae8cf18418237,Klebsiella_pneumoniae_subsp_pneumoniae_ATCC_10031.pt,8652270,b44f43eb19b36fc89d3eb0ee929b2bb5da0130449645c0e7898d4d6cbebacb1f,False,True,True
1004,Aspergillus tubingensis,ATCC FASTA archive,ATCC 1004,Aspergillus_tubingensis_ATCC_1004.fasta,36162174,20dc6053f3dfa167b31b9b0bcd34c54d1eb4bed642858fd91e8444c8774830ac,Aspergillus_tubingensis_ATCC_1004.pt,17433950,c946bba6d48e3ab6a15b0a7a22d3720c344d4a6685e9999b49775f6a19157564,False,True,False
10106,Penicillium chrysogenum,ATCC FASTA archive,ATCC 10106,Penicillium_chrysogenum_ATCC_10106.fasta,34053373,b9544014bdbb4f7f54ac30b21f32fa381d46d21e7db717fa73fb1f22abbff6bf,Penicillium_chrysogenum_ATCC_10106.pt,10978723,14810b1308b71e463f4675f4ac6fa142355e6dcf64a8718b3d07d3d770ac0d3e,False,True,False
1012,Aspergillus terreus,ATCC FASTA archive,ATCC 1012,Aspergillus_terreus_ATCC_1012.fasta,31103423,026403088fe96a5f221ea7f579829af84c9561f7c46402f93c55c50049ac4fe9,Aspergillus_terreus_ATCC_1012.pt,7636298,d6b322191bbb67504e6f0e330b670287e16bcc38efc73a9fb606a9cc76614c4b,False,True,False
10145,Pseudomonas aeruginosa,ATCC FASTA archive,ATCC 10145,Pseudomonas_aeruginosa_ATCC_10145.fasta,6422424,003f564ac72f3026b79cb4a9c1affb2a5f3c6eee889e7380b115bb686da7e53a,Pseudomonas_aeruginosa_ATCC_10145.pt,10356062,68446e8e49abb4bfe52162b8f06a21718d2d4b9cd2236c8f12f173b0f11f2868,False,True,False
1015,Aspergillus niger,ATCC FASTA archive,ATCC 1015,Aspergillus_niger_ATCC_1015.fasta,36113025,9ae6dd63a7af0fae51524d6c7df5bf3cc319fde92e091aa8304a86c35c50e64d,Aspergillus_niger_ATCC_1015.pt,8209728,039bab6807372d13368df9432faa1bbd3778e179bcb2923f297e9ac69ef19779,False,True,False
10211,Haemophilus influenzae,ATCC FASTA archive,ATCC 10211,Haemophilus_influenzae_ATCC_10211.fasta,1940414,1327fe839e6cee10dddee26e190f9de3660c9046e179dd9296ca09e30ee43ca5,Haemophilus_influenzae_ATCC_10211.pt,3130718,a2357827571854eaf1fbfd700f31ecbb799ad528eaaf30fd69e064906d3c9a44,False,True,False
1022,Aspergillus fumigatus,ATCC FASTA archive,ATCC 1022,Aspergillus_fumigatus_ATCC_1022.fasta,28969642,561f082f0c3c0e59b2c164fa03ce7dbe7f6ebd792cda67733edad1ff0db2d16d,Aspergillus_fumigatus_ATCC_1022.pt,8717652,c81717fcac62fa25bc356bdfaf4327dfcb69e78a0aa810d5bbb82b7ba215cfd9,False,True,False
10231,Candida albicans,ATCC FASTA archive,ATCC 10231,Candida_albicans_ATCC_10231.fasta,14983674,287fb3a91cd04d0cc7df905b191ce3035c060801ec81c726f14355fced979964,Candida_albicans_ATCC_10231.pt,5244224,8a3a40dfc836eceb77db8576def2ad7adf7a0a1860b1818658b6544d6130f946,False,True,True
10240,Micrococcus luteus,ATCC FASTA archive,ATCC 10240,Micrococcus_luteus_ATCC_10240.fasta,2556129,dd3553b89ebaa732196dd5e1d524e60d6ea5cbf30db8791c894d104d8bee4072,Micrococcus_luteus_ATCC_10240.pt,1672522,b72023ef99f101de1eedb0fd146afda08f4f2c8ce4f1841b314bd272a60c2a19,False,True,True
10389,Streptococcus pyogenes,ATCC FASTA archive,ATCC 10389,Streptococcus_pyogenes_ATCC_10389.fasta,1857253,c83f5b126781ea644031a1a24ef79cd052b116557af8303871a01d81b7fd5ec3,Streptococcus_pyogenes_ATCC_10389.pt,2999646,fa8e896807aa594d28b66676132f273a6e631d969a3a6ac49be276de514fe17f,False,True,False
10536,Escherichia coli,ATCC FASTA archive,ATCC 10536,Escherichia_coli_ATCC_10536.fasta,5307421,796948d40a502c6658e1f21932e0cd01416e2b55a0a065dac05e38dc5db0f1cf,Escherichia_coli_ATCC_10536.pt,8504640,8bf0c3eee45c365fbed200c738ef5f2dc88ea381d927d4ec4a58721180cf33ac,False,True,True
10541,Enterococcus hirae,ATCC FASTA archive,ATCC 10541,Enterococcus_hirae_ATCC_10541.fasta,2884619,f63980c671706cda63e58c267d1f775865fae3150aedd8d97acb0e86192d08f6,Enterococcus_hirae_ATCC_10541.pt,4654410,65b24133780d8908cf4a9da13368ced7692b8735bd8fdcafeb75674d480166fa,False,True,False
10543,Clostridium perfringens,ATCC FASTA archive,ATCC 10543,Clostridium_perfringens_ATCC_10543.fasta,3417253,9e1e540fbc40c18fd7c5329fee348aee5b80c46d4711b02f7340dbccae2f0047,Clostridium_perfringens_ATCC_10543.pt,5408163,b7e9a2b66d340b0ee83010cd87fd2b4e18ac65ad4d594e7e9f9e35375ab28310,False,True,False
10556,Streptococcus sanguinis,ATCC FASTA archive,ATCC 10556,Streptococcus_sanguinis_ATCC_10556.fasta,2335783,17c6e62617b8c9deac76ef8335677e7d6a7cb9b8f6bb9f7229c771366090fa8d,Streptococcus_sanguinis_ATCC_10556.pt,3769699,3b5bbf1357177a32b787d61669f8a7de71147ab0081f7551a7da74992ac1d059,False,True,False
10558,Streptococcus gordonii,ATCC FASTA archive,ATCC 10558,Streptococcus_gordonii_ATCC_10558.fasta,2224159,47079809bd361ec0ca6be164ccf3f2a7cfdbe5df7131be5135251498125fd1b6,Streptococcus_gordonii_ATCC_10558.pt,3589470,5d03ef46578ecb9ab8d3991de4877896f3a0d5532f95e2d1b444810483d14483,False,True,False
10662,Torulaspora delbrueckii,ATCC FASTA archive,ATCC 10662,Torulaspora_delbrueckii_ATCC_10662.fasta,9680581,519ed1baf57a1d934a8c21cfc05061b6a8ccd5f4da6ae163418d88b122c16538,Torulaspora_delbrueckii_ATCC_10662.pt,2344291,d25d37c618841b229ceef5b5c997302126679ca3a7e5d7ad1ab0532d081cfcc6,False,True,False
10702,Bacillus paranthracis,ATCC FASTA archive,ATCC 10702,Bacillus_paranthracis_ATCC_10702.fasta,5670669,bb10a461ab18d8c663c06f7ecdbd2ae5bbe612b5566c3aab548391fc125b0a60,Bacillus_paranthracis_ATCC_10702.pt,8521049,9283b28d3c77b23963d63afa422b6dd382a7f37fa03053b9aaf8c87720cfab4d,False,True,False
10708,Salmonella enterica subsp enterica serovar Choleraesuis,ATCC FASTA archive,ATCC 10708,Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_ATCC_10708.fasta,4884900,69ad0b842a60b8253343a565235daa6893c6b1b2be10526f7431f1cb0b2bd9f1,Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_ATCC_10708.pt,7800515,3970705053540c8ac08c543bc0bc9fae2ddd9f40b543256e1637c1f2402cbbaa,False,True,False
10778,Priestia megaterium,ATCC FASTA archive,ATCC 10778,Priestia_megaterium_ATCC_10778.fasta,5937226,272bea5fbffff0e09463891cde78b093c5c30aebb72d9f04bd4ba3c95f5722d0,Priestia_megaterium_ATCC_10778.pt,8422735,baca8185c6d1644dd2df93d1739ac7b1625132d937a401ba229f1cb5c96ff878,False,True,False
10790,Veillonella parvula,ATCC FASTA archive,ATCC 10790,Veillonella_parvula_ATCC_10790.fasta,2167805,6b37ee0ded6ccb52d7f5dc4677d7e874f3d83a0a81ad3d66c5030202127f0971,Veillonella_parvula_ATCC_10790.pt,3507535,81f63953625685f610c83930940749194704071761eb6bc580dca766acbf22aa,False,True,False
10792,Bacillus thuringiensis,ATCC FASTA archive,ATCC 10792,Bacillus_thuringiensis_ATCC_10792.fasta,6566040,b07607523b420eb73f12cd6c34646c78fec71d13bb15a2b7e52c85dc5647fb5e,Bacillus_thuringiensis_ATCC_10792.pt,9028958,87a3b32611df0d814aff25a5a67fa116bb9811f111828c1c089fd8265f45b782,False,True,False
10832,Staphylococcus aureus,ATCC FASTA archive,ATCC 10832,Staphylococcus_aureus_ATCC_10832.fasta,2882322,ba53cb1b23068cd73fc574be131faa495599534a0c493ccc693ed1054ebd2e14,Staphylococcus_aureus_ATCC_10832.pt,4654425,7cf897db44995f47b120b40a6e8b4a43005c5f8e83c3b31af3561f9fb89cdd84,False,True,False
10876,Bacillus cereus,ATCC FASTA archive,ATCC 10876,Bacillus_cereus_ATCC_10876.fasta,6137868,e20df96c7d6132d11c10da249d8fc3e7fa91ae54ab93557f6e28dd16fb2d6938,Bacillus_cereus_ATCC_10876.pt,8930619,07635db57413fc1d23cac45119245bb5eb008d61b168cade324be6fb268508d9,False,True,False
10953,Fusobacterium nucleatum subsp polymorphum,ATCC FASTA archive,ATCC 10953,Fusobacterium_nucleatum_subsp_polymorphum_ATCC_10953.fasta,2497668,b148f5ddf6587be612927a6ee15642dc9f147773a65143419ebe3f49ebba3ce8,Fusobacterium_nucleatum_subsp_polymorphum_ATCC_10953.pt,4015613,c746c9424a3c8ff32b014eb433abdc6ff07fac8b9a06fb9e7e6b0400a8527040,False,True,False
10987,Bacillus pacificus,ATCC FASTA archive,ATCC 10987,Bacillus_pacificus_ATCC_10987.fasta,5534104,3cb353c24f74ab0242b97034e7c35bf7e98e855a3d0998ebded35a290778c619,Bacillus_pacificus_ATCC_10987.pt,8586570,06b98ce78c4d8108dbe204f75d805698e62f714573c8409678921a94199bd5ba,False,True,False
11006,Candida albicans,ATCC FASTA archive,ATCC 11006,Candida_albicans_ATCC_11006.fasta,15052672,4b0d6ed20ef249364b203933ecb944e7b20d3138c44202348eb0a0e28239ae5d,Candida_albicans_ATCC_11006.pt,4080960,92a1ff7685dd64b02f9d8000292290752042e54ec8156c4dc44f3350cc67e39f,False,True,False
11060,Shigella sonnei,ATCC FASTA archive,ATCC 11060,Shigella_sonnei_ATCC_11060.fasta,5186167,19de11529cd0c6df2c5b9deccceb9827c0276675b21f6599f60bb1e4e6b029f9,Shigella_sonnei_ATCC_11060.pt,7996731,5c63414d8afe1d459cadd1f8f5a3fe238900e168e180335721fc4fa04854c5ad,False,True,False
11229,Escherichia coli,ATCC FASTA archive,ATCC 11229,Escherichia_coli_ATCC_11229.fasta,5010934,344257f06837fcd3ce14b84848a3e050ec0abd3c20804cc74cfd3d23c23efda5,Escherichia_coli_ATCC_11229.pt,7619904,b1cd44f52a94d8f033878e6e6a829c0fce5ba6bb94fe408b45cdc785f9e7aad6,False,True,False
11303,Escherichia coli,ATCC FASTA archive,ATCC 11303,Escherichia_coli_ATCC_11303.fasta,4699402,f6ac28db3b226cf49b8c49b49d50a8ac444ed56f980411c826f53457f359ed58,Escherichia_coli_ATCC_11303.pt,7587136,521f252cf5311d35776f06c351969543c8b103576f43a3ef24cca73100f6e4e2,False,True,False
11454,Lactococcus lactis subsp lactis,ATCC FASTA archive,ATCC 11454,Lactococcus_lactis_subsp_lactis_ATCC_11454.fasta,2637535,4d1cf382eefe7919a38a83e536d514566839661cf52c437236456392630fc2ab,Lactococcus_lactis_subsp_lactis_ATCC_11454.pt,3933643,2f9aae778edc803d7b9818f27b763da2cb0fea2eb52c9f5d4ea8b9ab570ef5be,False,True,False
11637,Xanthomonas citri pathovar mangiferaeindicae,ATCC FASTA archive,ATCC 11637,Xanthomonas_citri_pathovar_mangiferaeindicae_ATCC_11637.fasta,5437265,404702d0b08f5af16ebd88989320baa3d46e301db772255c72d8f48f9a8940ae,Xanthomonas_citri_pathovar_mangiferaeindicae_ATCC_11637.pt,5998156,392109727229b8bbc81155ce762114fa602d58f7f00731a4c5f58022d5b779c1,False,True,False
11774,Bacillus subtilis,ATCC FASTA archive,ATCC 11774,Bacillus_subtilis_ATCC_11774.fasta,4176288,aa4814d82f95fe831a05d8b028db0fa78fc18eabfa7e04eeb48007bfb74fc5b9,Bacillus_subtilis_ATCC_11774.pt,6735173,d27e6ab892d160249a97071594e0341598a19eaa81393879ff8786d231567895,False,True,False
11775,Escherichia coli,ATCC FASTA archive,ATCC 11775,Escherichia_coli_ATCC_11775.fasta,5120394,4cf3e2a55d3fb91ead9673ddede3938c3ac93352ae5531c6895db3c513114eb4,Escherichia_coli_ATCC_11775.pt,8045888,136ea18d02b58124afc8819d36c0bd6de606d7c3610f2528925ca60bb956263d,False,True,True
11778,Bacillus cereus,ATCC FASTA archive,ATCC 11778,Bacillus_cereus_ATCC_11778.fasta,5091272,26f2bee1cacc79663bd5dd2083054454f09a4638e67569ad7a493d20506eea35,Bacillus_cereus_ATCC_11778.pt,8209723,48748b2baa96dfcd34cd2e6e8f7eecbd55d17c49bc930518c0071b207e6457ed,False,True,False
11827,Cutibacterium acnes,ATCC FASTA archive,ATCC 11827,Cutibacterium_acnes_ATCC_11827.fasta,2536052,debff1c0b6d225f64131b0f9737dba23b38495307eb7ea129fb4c4e661478343,Cutibacterium_acnes_ATCC_11827.pt,4097359,9a62abba631c5cefe9035d877fdbd346255f56bc89f21b1843ed873d80d27afc,False,True,False
