apexoracle_id,ApexOracle-1,ApexOracle-2,ApexOracle-3,ApexOracle-4,ApexOracle-5,ApexOracle-6,ApexOracle-7,ApexOracle-8,ApexOracle-9,ApexOracle-10,ApexOracle-11,ApexOracle-12,ApexOracle-13,ApexOracle-14,ApexOracle-15,ApexOracle-16,ApexOracle-17,ApexOracle-18,ApexOracle-19,ApexOracle-20,ApexOracle-21,ApexOracle-22,ApexOracle-23,ApexOracle-24
ApexOracle-1,1.0,0.4968152866242038,0.5581395348837209,0.5185185185185185,0.8046875,0.644927536231884,0.5851851851851851,0.48175182481751827,0.49624060150375937,0.6950354609929078,0.7348484848484849,0.6012658227848101,0.17486338797814208,0.18994413407821228,0.21105527638190955,0.5912408759124088,0.5031055900621118,0.6299212598425197,0.4166666666666667,0.5681818181818182,0.49264705882352944,0.22043010752688172,0.16129032258064516,0.22994652406417113
ApexOracle-2,0.4968152866242038,1.0,0.4444444444444444,0.5362318840579711,0.5159235668789809,0.4625,0.5673758865248227,0.5441176470588235,0.5147058823529411,0.5375,0.5128205128205128,0.5662650602409639,0.27586206896551724,0.27167630057803466,0.25252525252525254,0.4240506329113924,0.5182926829268293,0.5735294117647058,0.39568345323741005,0.6090225563909775,0.5441176470588235,0.2717391304347826,0.2388888888888889,0.27419354838709675
ApexOracle-3,0.5581395348837209,0.4444444444444444,1.0,0.7623762376237624,0.5111111111111111,0.48148148148148145,0.6846846846846847,0.4666666666666667,0.5221238938053098,0.5142857142857142,0.5538461538461539,0.45806451612903226,0.12574850299401197,0.16981132075471697,0.12631578947368421,0.5655737704918032,0.43333333333333335,0.6666666666666666,0.5533980582524272,0.6363636363636364,0.6,0.12994350282485875,0.1317365269461078,0.14689265536723164
ApexOracle-4,0.5185185185185185,0.5362318840579711,0.7623762376237624,1.0,0.5407407407407407,0.5338345864661654,0.7363636363636363,0.41732283464566927,0.5575221238938053,0.44,0.5488721804511278,0.42857142857142855,0.14285714285714285,0.1728395061728395,0.14136125654450263,0.5853658536585366,0.43137254901960786,0.6576576576576577,0.6078431372549019,0.6428571428571429,0.5254237288135594,0.13966480446927373,0.14201183431952663,0.1564245810055866
ApexOracle-5,0.8046875,0.5159235668789809,0.5111111111111111,0.5407407407407407,1.0,0.7164179104477612,0.5955882352941176,0.46099290780141844,0.5658914728682171,0.704225352112676,0.856,0.5802469135802469,0.18478260869565216,0.19337016574585636,0.21393034825870647,0.6742424242424242,0.5806451612903226,0.6666666666666666,0.46153846153846156,0.627906976744186,0.4714285714285714,0.21693121693121692,0.16489361702127658,0.2328042328042328
ApexOracle-6,0.644927536231884,0.4625,0.48148148148148145,0.5338345864661654,0.7164179104477612,1.0,0.5777777777777777,0.4744525547445255,0.5,0.6527777777777778,0.7952755905511811,0.5272727272727272,0.20903954802259886,0.21839080459770116,0.22448979591836735,0.6194029850746269,0.50625,0.5725190839694656,0.37777777777777777,0.5259259259259259,0.463768115942029,0.22826086956521738,0.1878453038674033,0.24456521739130435
ApexOracle-7,0.5851851851851851,0.5673758865248227,0.6846846846846847,0.7363636363636363,0.5955882352941176,0.5777777777777777,1.0,0.4881889763779528,0.6666666666666666,0.5202702702702703,0.6287878787878788,0.484472049689441,0.1893491124260355,0.1569767441860465,0.17616580310880828,0.5111111111111111,0.46153846153846156,0.7387387387387387,0.6018518518518519,0.6782608695652174,0.5241935483870968,0.15135135135135136,0.12849162011173185,0.16756756756756758
ApexOracle-8,0.48175182481751827,0.5441176470588235,0.4666666666666667,0.41732283464566927,0.46099290780141844,0.4744525547445255,0.4881889763779528,1.0,0.4262295081967213,0.671875,0.5454545454545454,0.5833333333333334,0.3103448275862069,0.26174496644295303,0.2631578947368421,0.36879432624113473,0.528169014084507,0.4796747967479675,0.35,0.46774193548387094,0.6036036036036037,0.27848101265822783,0.26490066225165565,0.3141025641025641
ApexOracle-9,0.49624060150375937,0.5147058823529411,0.5221238938053098,0.5575221238938053,0.5658914728682171,0.5,0.6666666666666666,0.4262295081967213,1.0,0.5,0.6,0.4177215189873418,0.18471337579617833,0.20261437908496732,0.17777777777777778,0.4881889763779528,0.4589041095890411,0.6036036036036037,0.6122448979591837,0.6792452830188679,0.5263157894736842,0.14450867052023122,0.16149068322981366,0.17543859649122806
ApexOracle-10,0.6950354609929078,0.5375,0.5142857142857142,0.44,0.704225352112676,0.6527777777777778,0.5202702702702703,0.671875,0.5,1.0,0.7910447761194029,0.7032258064516129,0.25555555555555554,0.28,0.26,0.5793103448275863,0.6428571428571429,0.5244755244755245,0.33783783783783783,0.5244755244755245,0.6212121212121212,0.26595744680851063,0.22702702702702704,0.3027027027027027
ApexOracle-11,0.7348484848484849,0.5128205128205128,0.5538461538461539,0.5488721804511278,0.856,0.7952755905511811,0.6287878787878788,0.5454545454545454,0.6,0.7910447761194029,1.0,0.5974842767295597,0.21348314606741572,0.2159090909090909,0.21608040201005024,0.7244094488188977,0.609271523178808,0.6507936507936508,0.42424242424242425,0.6507936507936508,0.5223880597014925,0.2127659574468085,0.1793478260869565,0.24864864864864866
