apexoracle_id,ApexOracle-1,ApexOracle-2,ApexOracle-3,ApexOracle-4,ApexOracle-5,ApexOracle-6,ApexOracle-7,ApexOracle-8,ApexOracle-9,ApexOracle-10,ApexOracle-11,ApexOracle-12,ApexOracle-13,ApexOracle-14,ApexOracle-15,ApexOracle-16,ApexOracle-17,ApexOracle-18,ApexOracle-19,ApexOracle-20,ApexOracle-21,ApexOracle-22,ApexOracle-23,ApexOracle-24
ApexOracle-1,1.0,0.13513513513513514,0.17857142857142858,0.34375,0.2903225806451613,0.22580645161290322,0.15625,0.07142857142857142,0.3333333333333333,0.1724137931034483,0.26666666666666666,0.10714285714285714,,,,0.30303030303030304,0.14285714285714285,0.2647058823529412,0.16129032258064516,0.2857142857142857,0.2647058823529412,,,
ApexOracle-2,0.13513513513513514,1.0,0.09090909090909091,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.13043478260869565,0.03333333333333333,0.047619047619047616,0.2,0.0967741935483871,,,,0.07142857142857142,0.14814814814814814,0.11428571428571428,0.02702702702702703,0.06666666666666667,0.047619047619047616,,,
ApexOracle-3,0.17857142857142858,0.09090909090909091,1.0,0.18181818181818182,0.2,0.19230769230769232,0.15625,0.12,0.18181818181818182,0.08108108108108109,0.125,0.10714285714285714,,,,0.2413793103448276,0.1935483870967742,0.2857142857142857,0.16129032258064516,0.25,0.16129032258064516,,,
ApexOracle-4,0.34375,0.07692307692307693,0.18181818181818182,1.0,0.23684210526315788,0.21875,0.29411764705882354,0.03333333333333333,0.23529411764705882,0.0967741935483871,0.1,0.06666666666666667,,,,0.2727272727272727,0.16666666666666666,0.19444444444444445,0.2631578947368421,0.0975609756097561,0.2,,,
ApexOracle-5,0.2903225806451613,0.14285714285714285,0.2,0.23684210526315788,1.0,0.2,0.16666666666666666,0.08571428571428572,0.16666666666666666,0.21212121212121213,0.14285714285714285,0.17142857142857143,,,,0.2727272727272727,0.15384615384615385,0.20588235294117646,0.21621621621621623,0.18421052631578946,0.20588235294117646,,,
ApexOracle-6,0.22580645161290322,0.14285714285714285,0.19230769230769232,0.21875,0.2,1.0,0.15151515151515152,0.20833333333333334,0.19444444444444445,0.16666666666666666,0.2222222222222222,0.11428571428571428,,,,0.26666666666666666,0.14814814814814814,0.21428571428571427,0.12903225806451613,0.11538461538461539,0.16666666666666666,,,
ApexOracle-7,0.15625,0.21428571428571427,0.15625,0.29411764705882354,0.16666666666666666,0.15151515151515152,1.0,0.10714285714285714,0.25,0.14705882352941177,0.2777777777777778,0.0625,,,,0.15151515151515152,0.17142857142857143,0.25,0.18421052631578946,0.16666666666666666,0.125,,,
ApexOracle-8,0.07142857142857142,0.13043478260869565,0.12,0.03333333333333333,0.08571428571428572,0.20833333333333334,0.10714285714285714,1.0,0.09090909090909091,0.22727272727272727,0.2,0.10714285714285714,,,,0.10714285714285714,0.2,0.16666666666666666,0.0967741935483871,0.15384615384615385,0.19047619047619047,,,
ApexOracle-9,0.3333333333333333,0.03333333333333333,0.18181818181818182,0.23529411764705882,0.16666666666666666,0.19444444444444445,0.25,0.09090909090909091,1.0,0.1,0.2,0.13157894736842105,,,,0.14705882352941177,0.12121212121212122,0.22580645161290322,0.13157894736842105,0.21212121212121213,0.16666666666666666,,,
ApexOracle-10,0.1724137931034483,0.047619047619047616,0.08108108108108109,0.0967741935483871,0.21212121212121213,0.16666666666666666,0.14705882352941177,0.22727272727272727,0.1,1.0,0.24,0.20689655172413793,,,,0.1724137931034483,0.12903225806451613,0.08333333333333333,0.12903225806451613,0.11428571428571428,0.12,,,
